timestamp,views,likes,comments,shares,payouts,approved,approved_total
2026-03-17 18:49,802400,67600,367,1200,589.55,,
2026-03-17 18:55,802400,67600,367,1200,589.55,,
2026-03-17 19:41,802800,67700,367,1200,589.61,82,316
2026-03-17 19:47,802800,67700,367,1200,589.61,82,318
2026-03-17 20:28,802900,67700,367,1200,589.72,82,321
2026-03-17 21:27,873700,73000,386,1200,651.67,86,323
2026-03-17 22:27,878900,73300,395,1200,655.66,86,326
2026-03-17 23:21,883200,73600,395,1200,658.85,86,329
2026-03-18 01:09,889500,74000,396,1200,663.01,86,332
2026-03-18 04:12,893100,74300,393,1200,664.90,85,339
2026-03-18 05:56,894100,74300,394,1200,665.46,85,344
2026-03-18 06:52,894600,74400,394,1200,665.70,85,345
2026-03-18 07:44,895400,74500,394,1200,666.09,85,348
2026-03-18 08:35,896400,74500,396,1200,666.64,85,348
2026-03-18 09:41,897400,74600,396,1200,667.12,85,350
2026-03-18 10:40,898300,74700,396,1200,667.59,85,353
2026-03-18 11:37,899300,74700,396,1200,668.22,85,359
2026-03-18 12:42,900700,74800,396,1200,668.93,85,359
2026-03-18 14:14,1000000,79000,422,1300,752.60,103,361
2026-03-18 15:59,1000000,79500,423,1300,760.34,103,368
2026-03-18 17:00,1000000,79900,423,1300,767.43,103,372
2026-03-18 18:01,1000000,80400,426,1300,777.39,108,375
2026-03-18 19:41,1000000,81000,426,1300,787.09,108,380
2026-03-18 20:24,1100000,81200,426,1300,789.90,108,381
2026-03-18 21:25,1100000,81200,427,1300,791.03,108,382
2026-03-18 22:22,1100000,81500,429,1300,796.21,108,387
2026-03-18 23:21,1100000,81800,429,1300,802.53,108,390
2026-03-19 01:08,1100000,82400,429,1300,814.19,108,392
2026-03-19 04:11,1100000,83100,432,1300,824.45,108,406
2026-03-19 05:50,1100000,83200,432,1300,827.42,108,408
2026-03-19 07:39,1100000,83400,435,1300,831.42,107,404
2026-03-19 08:29,1100000,83500,435,1300,833.75,107,404
2026-03-19 10:29,1100000,83800,435,1300,838.06,107,409
2026-03-19 11:27,1100000,83900,435,1300,839.86,107,413
2026-03-19 12:36,1100000,84000,435,1300,842.57,107,417
2026-03-19 14:01,1100000,84200,435,1300,845.17,107,421
2026-03-19 15:42,1100000,84500,435,1300,849.68,107,430
2026-03-19 16:44,1100000,85100,444,1300,865.41,111,439
2026-03-19 17:46,1200000,85600,452,1300,870.21,123,439
2026-03-19 18:40,1200000,85900,452,1300,876.74,123,440
2026-03-19 20:26,1200000,86200,452,1300,881.17,123,443
2026-03-19 21:31,1200000,86300,452,1300,884.03,123,444
2026-03-19 22:16,1200000,86400,452,1300,885.73,123,447
2026-03-19 23:19,1200000,86600,450,1300,888.35,122,447
2026-03-20 01:05,1200000,86900,452,1300,893.05,122,449
2026-03-20 04:03,1200000,87200,453,1300,897.75,122,451
2026-03-20 05:43,1200000,87400,453,1300,900.15,122,453
2026-03-20 06:40,1200000,87400,453,1300,901.61,122,452
2026-03-20 07:38,1200000,87500,454,1300,903.20,122,451
2026-03-20 08:28,1200000,87600,454,1300,904.79,122,451
2026-03-20 09:30,1200000,87700,455,1300,906.66,122,452
2026-03-20 10:27,1200000,87700,457,1300,908.27,122,455
2026-03-20 11:22,1200000,88100,457,1300,909.63,122,456
2026-03-20 12:32,1200000,88200,457,1300,911.53,128,457
2026-03-20 13:53,1200000,88300,458,1300,915.50,148,458
2026-03-20 14:35,1200000,88500,465,1300,915.68,163,459
2026-03-20 15:33,1200000,89200,481,1300,917.53,197,462
2026-03-20 16:35,1300000,92300,521,1400,955.67,249,464
2026-03-20 17:28,1300000,92600,531,1400,956.48,266,468
2026-03-20 18:32,1300000,93200,535,1400,964.22,267,474
2026-03-20 19:30,1300000,93400,537,1400,967.99,267,477
2026-03-20 20:20,1300000,93700,538,1400,973.36,267,480
2026-03-20 21:20,1300000,93900,538,1400,976.73,267,482
2026-03-20 22:16,1300000,94100,540,1400,980.00,267,486
2026-03-20 23:18,1300000,94700,540,1400,989.70,267,491
2026-03-21 01:01,1300000,95300,541,1500,996.44,267,494
2026-03-21 03:54,1400000,95800,543,1500,"1,018.94",267,499
2026-03-21 05:01,1400000,96000,545,1500,"1,021.88",267,501
2026-03-21 06:29,1400000,96800,545,1500,"1,026.33",267,501
2026-03-21 07:26,1400000,96900,545,1500,"1,028.30",267,505
